,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc
0,keith,polygon,'AX,IDE,Centris,X,sale,car,bike,Phillies,NHL,encryption,circuit,geb,Space,God,cdt,Israeli,Cramer,sandvik
1,solntze.wpd.sgi.com,TIFF,Windows,SCSI,Quadra,Motif,SALE,cars,DoD,Braves,hockey,Clipper,detector,Banks,nsmca,athos.rutgers.edu,gun,Israel,cramer,newton.apple.com
2,Schneider,graphics,3.1,controller,Apple,expo.lcs.mit.edu,Sale,eliot,bikes,pitching,Leafs,clipper,voltage,MSG,orbit,Petch,ATF,cosmo,kaldis,ch981
3,vice.ICO.TEK.COM,3D,windows,ISA,Mac,widget,shipping,SHO,motorcycle,Alomar,team,crypto,circuits,cs.pitt.edu,prb,Jesus,guns,Armenians,Clayton,Jesus
4,bobbe,3DO,W4WG,VLB,Duo,X11R5,forsale,automotive,helmet,Baseball,Devils,NSA,UV,Gordon,zoo.toronto.edu,Christians,firearms,Armenian,optilink.COM,Rosicrucian
5,Beauchaine,CView,cica,IRQ,LCIII,xpert,Asking,Callison,riding,Players,ESPN,escrow,8051,N3JXP,henry,geneva.rutgers.edu,Gun,Turkish,Kaldis,Promise
6,Atheists,POV,font,SCSI-2,LC,window,Forsale,Dumbest,ride,Mets,Wings,key,grissom.larc.nasa.gov,cadre.dsl.pitt.edu,aurora.alaska.edu,gvg47.gvg.tek.com,Kratz,Serdar,romulus.rutgers.edu,psyrobtw
7,Rushdie,cview,BJ-200,DMA,C650,xterm,obo,rmt6r,rider.cactus.org,Sox,Pens,DES,256k,doctor,moon,clh,feustel,Argic,gsh7w,God
8,livesey,tdawson,NDIS,SCSI-1,BMUG,Xlib,dlneal,Thigpen,BMW,Cubs,playoffs,Amanda,babb,chastity,launch,Grass,DIVIDIAN,Arab,Gay,Weiss
9,Livesey,MPEG,Win,bus,IIsi,enterpoop.mit.edu,koutd,Toyota,MOA,baseball,playoff,wiretap,radar,Skepticism,acad3.alaska.edu,Christ,rocket.sw.stratus.com,Armenia,steveh,Alicea
